Entity,Entity,Similarity
http://research.tib.eu/p4-lucat/vocab/IA,http://research.tib.eu/p4-lucat/vocab/NEG_METHOD_OF,0.0
http://p4-lucat.eu/vocab/Publication_oncologicalTreatment,http://research.tib.eu/p4-lucat/vocab/NEG_LOCATION_OF,0.0
http://p4-lucat.eu/vocab/NEG_TREATS,http://p4-lucat.eu/vocab/HAS_TOPIC,0.0
http://research.tib.eu/p4-lucat/vocab/INHIBITS,http://research.tib.eu/p4-lucat/vocab/Diagnosis,0.0
http://research.tib.eu/p4-lucat/vocab/Metastasis_Location,http://research.tib.eu/p4-lucat/vocab/OncologicalTreatment,0.125
http://research.tib.eu/p4-lucat/vocab/ToxicityObservation,http://research.tib.eu/p4-lucat/vocab/Biomarker,0.08823529411764706
http://research.tib.eu/p4-lucat/vocab/Antiangiogenic,http://research.tib.eu/p4-lucat/vocab/COEXISTS_WITH,0.0
http://research.tib.eu/p4-lucat/vocab/DDI-DeductiveSystem,http://research.tib.eu/p4-lucat/vocab/PREDISPOSES,0.0
http://p4-lucat.eu/vocab/compared_with,http://research.tib.eu/p4-lucat/vocab/oncologicalDrug,0.0
http://research.tib.eu/p4-lucat/vocab/DrugDrugInteraction,http://p4-lucat.eu/vocab/CAUSES,0.0
http://p4-lucat.eu/vocab/OncologicalTreatment,http://research.tib.eu/p4-lucat/vocab/IA1,0.0
http://research.tib.eu/p4-lucat/vocab/NEG_ADMINISTERED_TO,http://research.tib.eu/p4-lucat/vocab/TreatmentResponse,0.0
http://research.tib.eu/p4-lucat/vocab/ClinicalTrial,http://research.tib.eu/p4-lucat/vocab/TumorType,0.0
http://research.tib.eu/p4-lucat/vocab/LCPatient_CT,http://research.tib.eu/p4-lucat/vocab/NEG_PRODUCES,0.0
http://research.tib.eu/p4-lucat/vocab/Diagnosis,http://research.tib.eu/p4-lucat/vocab/DrugToxicityInteraction,0.0
http://p4-lucat.eu/vocab/TREATS,http://p4-lucat.eu/vocab/NEG_USES,0.0
http://research.tib.eu/p4-lucat/vocab/AnnotationDefinition,http://research.tib.eu/p4-lucat/vocab/Patient_Progression,0.0
http://research.tib.eu/p4-lucat/vocab/IA1,http://research.tib.eu/p4-lucat/vocab/DrugDrugInteraction,0.022058823529411766
http://research.tib.eu/p4-lucat/vocab/AdverseEvent,http://p4-lucat.eu/vocab/NEG_PREDISPOSES,0.0
http://research.tib.eu/p4-lucat/vocab/DDI-CRD,http://research.tib.eu/p4-lucat/vocab/INTERACTS_WITH,0.0
http://research.tib.eu/p4-lucat/vocab/PREDISPOSES,http://research.tib.eu/p4-lucat/vocab/Biomarker,0.0
http://research.tib.eu/p4-lucat/vocab/same_as,http://p4-lucat.eu/vocab/Annotation,0.0
http://research.tib.eu/p4-lucat/vocab/DDI-NCRD,http://research.tib.eu/p4-lucat/vocab/ISA,0.0
http://research.tib.eu/p4-lucat/vocab/NEG_CONVERTS_TO,http://research.tib.eu/p4-lucat/vocab/MEASUREMENT_OF,0.0
http://research.tib.eu/p4-lucat/vocab/ADMINISTERED_TO,http://research.tib.eu/p4-lucat/vocab/NEG_ADMINISTERED_TO,0.0
http://research.tib.eu/p4-lucat/vocab/Radiotherapy,http://p4-lucat.eu/vocab/NEG_PRODUCES,0.0
http://research.tib.eu/p4-lucat/vocab/KRAS,http://research.tib.eu/p4-lucat/vocab/NEG_PROCESS_OF,0.0
http://p4-lucat.eu/vocab/same_as,http://research.tib.eu/p4-lucat/vocab/IA1,0.0
http://research.tib.eu/p4-lucat/vocab/NEG_AUGMENTS,http://p4-lucat.eu/vocab/NEG_PART_OF,0.0
http://research.tib.eu/p4-lucat/vocab/Alk,http://p4-lucat.eu/vocab/CAUSES,0.0
http://p4-lucat.eu/vocab/higher_than,http://research.tib.eu/p4-lucat/vocab/Antiangiogenic,0.0
http://research.tib.eu/p4-lucat/vocab/AdverseEvent,http://p4-lucat.eu/vocab/NEG_CAUSES,0.0
http://p4-lucat.eu/vocab/COMPLICATES,http://research.tib.eu/p4-lucat/vocab/Diagnosis_Previous_Treatment,0.0
http://research.tib.eu/p4-lucat/vocab/NEG_MEASURES,http://p4-lucat.eu/vocab/PublicationType,0.0
http://research.tib.eu/p4-lucat/vocab/Target,http://p4-lucat.eu/vocab/NEG_INTERACTS_WITH,0.0
http://research.tib.eu/p4-lucat/vocab/Comorbidity,http://p4-lucat.eu/vocab/PART_OF,0.0
http://research.tib.eu/p4-lucat/vocab/NEG_ISA,http://p4-lucat.eu/vocab/NEG_ASSOCIATED_WITH,0.0
http://research.tib.eu/p4-lucat/vocab/NEG_lower_than,http://research.tib.eu/p4-lucat/vocab/Patient_Progression,0.0
http://research.tib.eu/p4-lucat/vocab/AnnotationDefinition,http://p4-lucat.eu/vocab/PROCESS_OF,0.0
http://research.tib.eu/p4-lucat/vocab/DrugDisorderInteraction,http://research.tib.eu/p4-lucat/vocab/NEG_ADMINISTERED_TO,0.0
